title,year,genre,rate,budget,revenue
Kamui the Ninja,1971-03-20,Action|Adventure|Animation,0.0,0,0
Migration,2023-12-06,Action|Adventure|Animation|Comedy|Family,7.5,72000000,292496973
Spider-Man: Across the Spider-Verse,2023-05-31,Action|Adventure|Animation|Science Fiction,8.374,100000000,690615475
The Bob's Burgers Movie,2022-05-26,Adventure|Animation|Comedy,7.0,38000000,34148750
Demon Slayer: Kimetsu no Yaiba -To the Hashira Training-,2024-02-02,Action|Animation|Fantasy,6.2,0,47271460
Kung Fu Panda 4,2024-03-02,Action|Animation|Comedy|Family|Fantasy,7.102,85000000,410255055
Inside Out 2,2024-06-12,Adventure|Animation|Drama|Family|Fantasy,0.0,0,0
Hop,2011-03-30,Animation|Comedy|Family,5.8,63000000,183953723
The Boy and the Heron,2023-07-14,Adventure|Animation|Fantasy,7.4,50000000,165208613
The Super Mario Bros. Movie,2023-04-05,Adventure|Animation|Comedy|Family|Fantasy,7.7,100000000,1362000000
Bluey,2015-06-01,Drama,9.0,0,0
Oppenheimer,2023-07-19,Drama|History,8.112,100000000,952000000
Unfrosted,2024-05-02,Comedy|History,0.0,0,0
Scoop,2024-03-27,Drama,6.4,0,0
The Iron Claw,2023-12-21,Drama|History,7.608,15900000,40130232
The New Look,1990-01-01,,0.0,0,0
The Crown,2020-08-20,Documentary,8.0,0,0
One Life,2023-09-09,Drama|History|War,7.7,0,20250568
Back to Black,2024-04-11,Drama|Music,6.8,0,0
The Boys in the Boat,2023-12-25,Drama|History,7.5,40000000,54401583
Supersexy '64,1963-08-30,Documentary,0.0,0,0
Napoleon,2023-11-22,Drama|History|War,6.5,165000000,220597098
Adidas Vs. Puma: The Brother's Feud,2016-03-25,Drama,7.1,0,0
Ford v Ferrari,2019-11-13,Action|Drama|History,8.002,97600000,225508210
The Greatest Story Ever Told,1965-04-09,Drama|History,6.4,20000000,15500000
Ferrari,2023-12-14,Drama|History,6.5,95000000,39220516
The Wolf of Wall Street,2013-12-25,Comedy|Crime|Drama,8.035,100000000,392000000
Cabrini,2024-03-07,Drama|History,7.6,50000000,7565107
Society of the Snow,2023-12-15,Drama|History,8.069,65500000,0
Griselda - Live at Rolling Loud New York 2021,,,0.0,0,0
The Dropout,2023-04-25,Comedy|Drama,0.0,1000,0
12th Fail,2023-08-11,Drama,8.3,0,0
Jesus of Nazareth,1942-03-26,Drama|History,7.5,0,0
Schindler's List,1993-12-15,Drama|History|War,8.6,22000000,321365567
Priscilla,2023-10-27,Drama|Music|Romance,7.0,20000000,30140906
GoodFellas,1990-09-12,Crime|Drama,8.5,25000000,46800000
Green Book,2018-11-16,Drama|History,8.2,23000000,319700000
The Favourite,2018-11-23,Comedy|Drama|Thriller,7.5,15000000,95918706
King of Kings,1961-10-11,Drama|History,7.1,5037000,14500000
Narcos,1992-05-21,Drama,7.4,0,0
Sound of Freedom,2023-07-03,Action|Drama,8.0,14500000,250600000
Dumb Money,2023-09-15,Comedy|Drama|History,6.8,30000000,20000000
